Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe;Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe;sped up 8282;4/8/23;KRA252300672;42;170,970,614;27,827;5,784,546;41;22,280,037;334,523;14,348,249;948,225,544;12,196,985,599;;2;9;;;;;;
I'm Good (Blue);I'm Good (Blue);David Guetta;8/26/2022;UKWLG2200055;43;1,658,229,422;262,248;239,957,538;83;466,080,689;4,324,989;728,093;54,258,768;1,051,836,430;1,425,853,925;285;168;8,007,236;;;;;
Daylight;Daylight;David Kushner;4/14/2023;QZXDB2300005;44;1,126,820,069;177,8;85,255,689;82;274,070,101;3,701,289;2,557,115;285,329,503;2,578,518,632;1,205,538,057;163;80;9,505,098;;;;;
My Love Mine All Mine;The Land Is Inhospitable and So Are We;Mitski;9/15/2023;USJ5G2335007;45;997,702,304;105,927;92,834,002;86;48,093,111;959,175;3,648,759;857,220,853;5,469,808,282;298,259,422;91;110;7,980,051;;;;;
Please Please Please;Please Please Please;Sabrina Carpenter;6/6/24;USUM72404101;46;59,314,441;2,572;183,043,096;83;22,374,807;1,026,097;;188,2;1,200,000;110,446,147;199;98;9,883;;;;;
Houdini;Houdini - Single;Dua Lipa;11/9/23;GBAHT2301246;47;493,627,071;45,3;87,874,006;80;150,571,504;1,575,378;93,5;35,970,610;386,610,043;3,129,834,452;174;127;1,991,527;;;;;
Danza Kuduro - Cover;GEKIATU BEST AGE SONG - CLUB SONG;MUSIC LAB JPN;5/2/24;TCJPA2415647;48;1,655,575,417;9;85;;;;;;;;;;;;;;;
If We Ever Broke Up;If We Ever Broke Up;Mae Stephens;2/10/23;GBUM72300969;49;304,929,492;43,923;46,133,083;69;61,986,821;921,044;13,872,768;390,207,653;5,684,815,935;19,218,089;78;36;;;;;;
Despacito;Despacito (Featuring Daddy Yankee);Luis Fonsi;1/13/2017;USUM71607007;50;1,747,093,405;178,114;49,464,650;74;9,537,135,721;61,799,279;799,338;78,304,409;1,143,297,071;569,548,901;179;118;;;;;;
euphoria;euphoria;Kendrick Lamar;4/30/2024;USUG12402839;51;168,434,320;17,168;62,516,401;86;53,604,746;1,846,535;;;;174,375,427;65;31;4,304,870;;;;;
